symbol,companyName,lastPrice,change,pChange,dayHigh,dayLow,totalTradedVolume,timestamp
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:04
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:10
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:15
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:20
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:26
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:31
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:43:36
T,,,,,,,,2025-05-07 07:44:41
C,,,,,,,,2025-05-07 07:44:42
S,,,,,,,,2025-05-07 07:44:43
T,,,,,,,,2025-05-07 07:44:48
C,,,,,,,,2025-05-07 07:44:48
S,,,,,,,,2025-05-07 07:44:48
T,,,,,,,,2025-05-07 07:44:53
C,,,,,,,,2025-05-07 07:44:53
S,,,,,,,,2025-05-07 07:44:54
T,,,,,,,,2025-05-07 07:44:59
C,,,,,,,,2025-05-07 07:44:59
S,,,,,,,,2025-05-07 07:45:00
T,,,,,,,,2025-05-07 07:45:05
C,,,,,,,,2025-05-07 07:45:05
S,,,,,,,,2025-05-07 07:45:05
T,,,,,,,,2025-05-07 07:45:10
C,,,,,,,,2025-05-07 07:45:10
S,,,,,,,,2025-05-07 07:45:11
T,,,,,,,,2025-05-07 07:45:16
C,,,,,,,,2025-05-07 07:45:16
S,,,,,,,,2025-05-07 07:45:17
T,,,,,,,,2025-05-07 07:45:22
C,,,,,,,,2025-05-07 07:45:22
S,,,,,,,,2025-05-07 07:45:23
T,,,,,,,,2025-05-07 07:45:28
C,,,,,,,,2025-05-07 07:45:28
S,,,,,,,,2025-05-07 07:45:28
T,,,,,,,,2025-05-07 07:45:33
C,,,,,,,,2025-05-07 07:45:34
S,,,,,,,,2025-05-07 07:45:34
T,,,,,,,,2025-05-07 07:45:39
C,,,,,,,,2025-05-07 07:45:39
S,,,,,,,,2025-05-07 07:45:39
T,,,,,,,,2025-05-07 07:45:45
C,,,,,,,,2025-05-07 07:45:45
S,,,,,,,,2025-05-07 07:45:45
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:46:40
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:46:45
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:46:50
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:46:56
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:01
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:06
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:11
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:17
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:22
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:28
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:33
TCS,,3451.6,-2.700000000000273,-0.07816344845555605,3473,3437,,2025-05-07 07:47:38
T,,,,,,,,2025-05-07 08:01:07
C,,,,,,,,2025-05-07 08:01:07
S,,,,,,,,2025-05-07 08:01:08
 ,,,,,,,,2025-05-07 08:01:08
T,,,,,,,,2025-05-07 08:01:14
C,,,,,,,,2025-05-07 08:01:14
S,,,,,,,,2025-05-07 08:01:14
 ,,,,,,,,2025-05-07 08:01:14
T,,,,,,,,2025-05-07 08:01:19
C,,,,,,,,2025-05-07 08:01:19
S,,,,,,,,2025-05-07 08:01:19
 ,,,,,,,,2025-05-07 08:01:19
T,,,,,,,,2025-05-07 08:01:24
C,,,,,,,,2025-05-07 08:01:25
S,,,,,,,,2025-05-07 08:01:26
 ,,,,,,,,2025-05-07 08:01:26
T,,,,,,,,2025-05-07 08:01:31
C,,,,,,,,2025-05-07 08:01:31
S,,,,,,,,2025-05-07 08:01:31
 ,,,,,,,,2025-05-07 08:01:31
T,,,,,,,,2025-05-07 08:01:37
C,,,,,,,,2025-05-07 08:01:37
S,,,,,,,,2025-05-07 08:01:37
 ,,,,,,,,2025-05-07 08:01:37
T,,,,,,,,2025-05-07 08:01:42
C,,,,,,,,2025-05-07 08:01:43
S,,,,,,,,2025-05-07 08:01:44
 ,,,,,,,,2025-05-07 08:01:44
T,,,,,,,,2025-05-07 08:01:50
C,,,,,,,,2025-05-07 08:01:50
S,,,,,,,,2025-05-07 08:01:50
 ,,,,,,,,2025-05-07 08:01:50
T,,,,,,,,2025-05-07 08:01:55
C,,,,,,,,2025-05-07 08:01:55
S,,,,,,,,2025-05-07 08:01:55
 ,,,,,,,,2025-05-07 08:01:55
T,,,,,,,,2025-05-07 08:02:00
C,,,,,,,,2025-05-07 08:02:02
S,,,,,,,,2025-05-07 08:02:03
 ,,,,,,,,2025-05-07 08:02:03
T,,,,,,,,2025-05-07 08:02:10
C,,,,,,,,2025-05-07 08:02:10
S,,,,,,,,2025-05-07 08:02:10
 ,,,,,,,,2025-05-07 08:02:10
T,,,,,,,,2025-05-07 08:02:15
C,,,,,,,,2025-05-07 08:02:15
S,,,,,,,,2025-05-07 08:02:15
 ,,,,,,,,2025-05-07 08:02:15
T,,,,,,,,2025-05-07 08:02:35
C,,,,,,,,2025-05-07 08:02:35
S,,,,,,,,2025-05-07 08:02:36
 ,,,,,,,,2025-05-07 08:02:37
T,,,,,,,,2025-05-07 08:02:37
C,,,,,,,,2025-05-07 08:02:37
S,,,,,,,,2025-05-07 08:02:37
 ,,,,,,,,2025-05-07 08:02:37
T,,,,,,,,2025-05-07 08:02:42
C,,,,,,,,2025-05-07 08:02:42
S,,,,,,,,2025-05-07 08:02:43
 ,,,,,,,,2025-05-07 08:02:43
T,,,,,,,,2025-05-07 08:02:42
C,,,,,,,,2025-05-07 08:02:43
S,,,,,,,,2025-05-07 08:02:43
 ,,,,,,,,2025-05-07 08:02:43
T,,,,,,,,2025-05-07 08:02:48
C,,,,,,,,2025-05-07 08:02:48
S,,,,,,,,2025-05-07 08:02:48
 ,,,,,,,,2025-05-07 08:02:48
T,,,,,,,,2025-05-07 08:02:48
C,,,,,,,,2025-05-07 08:02:48
S,,,,,,,,2025-05-07 08:02:48
 ,,,,,,,,2025-05-07 08:02:48
T,,,,,,,,2025-05-07 08:02:53
C,,,,,,,,2025-05-07 08:02:54
S,,,,,,,,2025-05-07 08:02:54
 ,,,,,,,,2025-05-07 08:02:55
T,,,,,,,,2025-05-07 08:02:53
C,,,,,,,,2025-05-07 08:02:54
S,,,,,,,,2025-05-07 08:02:54
 ,,,,,,,,2025-05-07 08:02:55
T,,,,,,,,2025-05-07 08:03:00
C,,,,,,,,2025-05-07 08:03:00
S,,,,,,,,2025-05-07 08:03:00
 ,,,,,,,,2025-05-07 08:03:00
T,,,,,,,,2025-05-07 08:03:00
C,,,,,,,,2025-05-07 08:03:00
S,,,,,,,,2025-05-07 08:03:00
 ,,,,,,,,2025-05-07 08:03:00
T,,,,,,,,2025-05-07 08:03:05
C,,,,,,,,2025-05-07 08:03:06
S,,,,,,,,2025-05-07 08:03:06
 ,,,,,,,,2025-05-07 08:03:06
T,,,,,,,,2025-05-07 08:03:05
C,,,,,,,,2025-05-07 08:03:06
S,,,,,,,,2025-05-07 08:03:06
 ,,,,,,,,2025-05-07 08:03:06
T,,,,,,,,2025-05-07 08:03:06
C,,,,,,,,2025-05-07 08:03:06
S,,,,,,,,2025-05-07 08:03:06
 ,,,,,,,,2025-05-07 08:03:06
T,,,,,,,,2025-05-07 08:03:11
C,,,,,,,,2025-05-07 08:03:11
S,,,,,,,,2025-05-07 08:03:12
 ,,,,,,,,2025-05-07 08:03:13
T,,,,,,,,2025-05-07 08:03:11
C,,,,,,,,2025-05-07 08:03:11
S,,,,,,,,2025-05-07 08:03:13
 ,,,,,,,,2025-05-07 08:03:13
T,,,,,,,,2025-05-07 08:03:11
C,,,,,,,,2025-05-07 08:03:11
S,,,,,,,,2025-05-07 08:03:13
 ,,,,,,,,2025-05-07 08:03:13
T,,,,,,,,2025-05-07 08:03:18
C,,,,,,,,2025-05-07 08:03:18
S,,,,,,,,2025-05-07 08:03:18
 ,,,,,,,,2025-05-07 08:03:18
T,,,,,,,,2025-05-07 08:03:19
C,,,,,,,,2025-05-07 08:03:19
S,,,,,,,,2025-05-07 08:03:19
 ,,,,,,,,2025-05-07 08:03:19
T,,,,,,,,2025-05-07 08:03:19
C,,,,,,,,2025-05-07 08:03:19
S,,,,,,,,2025-05-07 08:03:19
 ,,,,,,,,2025-05-07 08:03:19
T,,,,,,,,2025-05-07 08:03:23
C,,,,,,,,2025-05-07 08:03:23
S,,,,,,,,2025-05-07 08:03:23
 ,,,,,,,,2025-05-07 08:03:23
T,,,,,,,,2025-05-07 08:03:24
C,,,,,,,,2025-05-07 08:03:24
S,,,,,,,,2025-05-07 08:03:24
 ,,,,,,,,2025-05-07 08:03:24
T,,,,,,,,2025-05-07 08:03:24
C,,,,,,,,2025-05-07 08:03:24
S,,,,,,,,2025-05-07 08:03:24
 ,,,,,,,,2025-05-07 08:03:24
T,,,,,,,,2025-05-07 08:03:28
C,,,,,,,,2025-05-07 08:03:28
S,,,,,,,,2025-05-07 08:03:29
 ,,,,,,,,2025-05-07 08:03:30
T,,,,,,,,2025-05-07 08:03:29
C,,,,,,,,2025-05-07 08:03:29
S,,,,,,,,2025-05-07 08:03:29
 ,,,,,,,,2025-05-07 08:03:30
T,,,,,,,,2025-05-07 08:03:30
C,,,,,,,,2025-05-07 08:03:30
S,,,,,,,,2025-05-07 08:03:30
 ,,,,,,,,2025-05-07 08:03:30
T,,,,,,,,2025-05-07 08:03:35
C,,,,,,,,2025-05-07 08:03:35
S,,,,,,,,2025-05-07 08:03:35
 ,,,,,,,,2025-05-07 08:03:35
T,,,,,,,,2025-05-07 08:03:35
C,,,,,,,,2025-05-07 08:03:35
S,,,,,,,,2025-05-07 08:03:35
 ,,,,,,,,2025-05-07 08:03:35
T,,,,,,,,2025-05-07 08:03:35
C,,,,,,,,2025-05-07 08:03:35
S,,,,,,,,2025-05-07 08:03:36
 ,,,,,,,,2025-05-07 08:03:36
T,,,,,,,,2025-05-07 08:03:40
C,,,,,,,,2025-05-07 08:03:40
S,,,,,,,,2025-05-07 08:03:40
 ,,,,,,,,2025-05-07 08:03:40
T,,,,,,,,2025-05-07 08:03:40
C,,,,,,,,2025-05-07 08:03:40
S,,,,,,,,2025-05-07 08:03:40
 ,,,,,,,,2025-05-07 08:03:40
T,,,,,,,,2025-05-07 08:03:41
C,,,,,,,,2025-05-07 08:03:41
S,,,,,,,,2025-05-07 08:03:41
 ,,,,,,,,2025-05-07 08:03:41
T,,,,,,,,2025-05-07 08:03:46
C,,,,,,,,2025-05-07 08:03:47
S,,,,,,,,2025-05-07 08:03:48
 ,,,,,,,,2025-05-07 08:03:48
T,,,,,,,,2025-05-07 08:03:53
C,,,,,,,,2025-05-07 08:03:53
S,,,,,,,,2025-05-07 08:03:53
 ,,,,,,,,2025-05-07 08:03:53
T,,,,,,,,2025-05-07 08:03:58
C,,,,,,,,2025-05-07 08:03:58
S,,,,,,,,2025-05-07 08:03:58
 ,,,,,,,,2025-05-07 08:03:59
T,,,,,,,,2025-05-07 08:04:04
C,,,,,,,,2025-05-07 08:04:04
S,,,,,,,,2025-05-07 08:04:05
 ,,,,,,,,2025-05-07 08:04:05
T,,,,,,,,2025-05-07 08:04:11
C,,,,,,,,2025-05-07 08:04:11
S,,,,,,,,2025-05-07 08:04:11
 ,,,,,,,,2025-05-07 08:04:11
T,,,,,,,,2025-05-07 08:05:18
C,,,,,,,,2025-05-07 08:05:18
S,,,,,,,,2025-05-07 08:05:19
 ,,,,,,,,2025-05-07 08:05:20
T,,,,,,,,2025-05-07 08:05:25
C,,,,,,,,2025-05-07 08:05:25
S,,,,,,,,2025-05-07 08:05:25
 ,,,,,,,,2025-05-07 08:05:25
T,,,,,,,,2025-05-07 08:05:30
C,,,,,,,,2025-05-07 08:05:30
S,,,,,,,,2025-05-07 08:05:30
 ,,,,,,,,2025-05-07 08:05:30
T,,,,,,,,2025-05-07 08:05:35
C,,,,,,,,2025-05-07 08:05:36
S,,,,,,,,2025-05-07 08:05:37
 ,,,,,,,,2025-05-07 08:05:37
T,,,,,,,,2025-05-07 08:05:43
C,,,,,,,,2025-05-07 08:05:43
S,,,,,,,,2025-05-07 08:05:43
 ,,,,,,,,2025-05-07 08:05:43
T,,,,,,,,2025-05-07 08:05:48
C,,,,,,,,2025-05-07 08:05:48
S,,,,,,,,2025-05-07 08:05:48
 ,,,,,,,,2025-05-07 08:05:48
T,,,,,,,,2025-05-07 08:05:54
C,,,,,,,,2025-05-07 08:05:54
S,,,,,,,,2025-05-07 08:05:55
 ,,,,,,,,2025-05-07 08:05:55
T,,,,,,,,2025-05-07 08:06:01
C,,,,,,,,2025-05-07 08:06:01
S,,,,,,,,2025-05-07 08:06:01
 ,,,,,,,,2025-05-07 08:06:01
T,,,,,,,,2025-05-07 08:06:07
